expression,expression_length
NNTTNTNNS,9
NNTTNTNTS,9
NNTTNTTNS,9
NNTTNTTTS,9
NNTTTNNNS,9
NNTTTNNTS,9
NNTTTNTNS,9
NNTTTNTTS,9
NNTTTTNNS,9
NNTTTTNTS,9
NNTTTTTNS,9
NNTTTTTTS,9
NTNNNNNNS,9
NTNNNNNTS,9
NTNNNNTNS,9
NTNNNNTTS,9
NTNNNTNNS,9
NTNNNTNTS,9
NTNNNTTNS,9
NTNNNTTTS,9
NTNNTNNNS,9
NTNNTNNTS,9
NTNNTNTNS,9
NTNNTNTTS,9
NTNNTTNNS,9
NTNNTTNTS,9
NTNNTTTNS,9
NTNNTTTTS,9
NTNTNNNNS,9
NTNTNNNTS,9
NTNTNNTNS,9
NTNTNNTTS,9
NTNTNTNNS,9
NTNTNTNTS,9
NTNTNTTNS,9
NTNTNTTTS,9
NTNTTNNNS,9
NTNTTNNTS,9
NTNTTNTNS,9
NTNTTNTTS,9
NTNTTTNNS,9
NTNTTTNTS,9
NTNTTTTNS,9
NTNTTTTTS,9
NTTNNNNNS,9
NTTNNNNTS,9
NTTNNNTNS,9
NTTNNNTTS,9
NTTNNTNNS,9
NTTNNTNTS,9
NTTNNTTNS,9
NTTNNTTTS,9
NTTNTNNNS,9
NTTNTNNTS,9
NTTNTNTNS,9
NTTNTNTTS,9
NTTNTTNNS,9
NTTNTTNTS,9
NTTNTTTNS,9
NTTNTTTTS,9
NTTTNNNNS,9
NTTTNNNTS,9
NTTTNNTNS,9
NTTTNNTTS,9
NTTTNTNNS,9
NTTTNTNTS,9
NTTTNTTNS,9
NTTTNTTTS,9
NTTTTNNNS,9
NTTTTNNTS,9
NTTTTNTNS,9
NTTTTNTTS,9
NTTTTTNNS,9
NTTTTTNTS,9
NTTTTTTNS,9
NTTTTTTTS,9
TNNNNNNNS,9
TNNNNNNTS,9
TNNNNNTNS,9
TNNNNNTTS,9
TNNNNTNNS,9
TNNNNTNTS,9
TNNNNTTNS,9
TNNNNTTTS,9
TNNNTNNNS,9
TNNNTNNTS,9
TNNNTNTNS,9
TNNNTNTTS,9
TNNNTTNNS,9
TNNNTTNTS,9
TNNNTTTNS,9
TNNNTTTTS,9
TNNTNNNNS,9
TNNTNNNTS,9
TNNTNNTNS,9
TNNTNNTTS,9
TNNTNTNNS,9
TNNTNTNTS,9
TNNTNTTNS,9
TNNTNTTTS,9
TNNTTNNNS,9
TNNTTNNTS,9
TNNTTNTNS,9
TNNTTNTTS,9
TNNTTTNNS,9
TNNTTTNTS,9
TNNTTTTNS,9
TNNTTTTTS,9
TNTNNNNNS,9
TNTNNNNTS,9
TNTNNNTNS,9
TNTNNNTTS,9
TNTNNTNNS,9
TNTNNTNTS,9
TNTNNTTNS,9
TNTNNTTTS,9
TNTNTNNNS,9
TNTNTNNTS,9
TNTNTNTNS,9
TNTNTNTTS,9
TNTNTTNNS,9
TNTNTTNTS,9
TNTNTTTNS,9
TNTNTTTTS,9
TNTTNNNNS,9
TNTTNNNTS,9
TNTTNNTNS,9
TNTTNNTTS,9
TNTTNTNNS,9
TNTTNTNTS,9
TNTTNTTNS,9
TNTTNTTTS,9
TNTTTNNNS,9
TNTTTNNTS,9
TNTTTNTNS,9
TNTTTNTTS,9
TNTTTTNNS,9
TNTTTTNTS,9
TNTTTTTNS,9
TNTTTTTTS,9
TTNNNNNNS,9
TTNNNNNTS,9
TTNNNNTNS,9
TTNNNNTTS,9
TTNNNTNNS,9
TTNNNTNTS,9
TTNNNTTNS,9
TTNNNTTTS,9
TTNNTNNNS,9
TTNNTNNTS,9
TTNNTNTNS,9
TTNNTNTTS,9
TTNNTTNNS,9
TTNNTTNTS,9
TTNNTTTNS,9
TTNNTTTTS,9
TTNTNNNNS,9
TTNTNNNTS,9
TTNTNNTNS,9
TTNTNNTTS,9
TTNTNTNNS,9
TTNTNTNTS,9
TTNTNTTNS,9
TTNTNTTTS,9
TTNTTNNNS,9
TTNTTNNTS,9
TTNTTNTNS,9
TTNTTNTTS,9
TTNTTTNNS,9
TTNTTTNTS,9
TTNTTTTNS,9
TTNTTTTTS,9
TTTNNNNNS,9
TTTNNNNTS,9
TTTNNNTNS,9
TTTNNNTTS,9
TTTNNTNNS,9
TTTNNTNTS,9
TTTNNTTNS,9
TTTNNTTTS,9
TTTNTNNNS,9
TTTNTNNTS,9
TTTNTNTNS,9
TTTNTNTTS,9
TTTNTTNNS,9
TTTNTTNTS,9
TTTNTTTNS,9
TTTNTTTTS,9
TTTTNNNNS,9
TTTTNNNTS,9
TTTTNNTNS,9
TTTTNNTTS,9
TTTTNTNNS,9
TTTTNTNTS,9
TTTTNTTNS,9
TTTTNTTTS,9
TTTTTNNNS,9
TTTTTNNTS,9
TTTTTNTNS,9
TTTTTNTTS,9
TTTTTTNNS,9
TTTTTTNTS,9
TTTTTTTNS,9
TTTTTTTTS,9
NNNNNNNNNS,10
NNNNNNNNTS,10
NNNNNNNTNS,10
NNNNNNNTTS,10
NNNNNNTNNS,10
NNNNNNTNTS,10
NNNNNNTTNS,10
NNNNNNTTTS,10
NNNNNTNNNS,10
NNNNNTNNTS,10
NNNNNTNTNS,10
NNNNNTNTTS,10
NNNNNTTNNS,10
NNNNNTTNTS,10
NNNNNTTTNS,10
NNNNNTTTTS,10
NNNNTNNNNS,10
NNNNTNNNTS,10
NNNNTNNTNS,10
NNNNTNNTTS,10
NNNNTNTNNS,10
NNNNTNTNTS,10
NNNNTNTTNS,10
NNNNTNTTTS,10
NNNNTTNNNS,10
NNNNTTNNTS,10
NNNNTTNTNS,10
NNNNTTNTTS,10
NNNNTTTNNS,10
NNNNTTTNTS,10
NNNNTTTTNS,10
NNNNTTTTTS,10
NNNTNNNNNS,10
NNNTNNNNTS,10
NNNTNNNTNS,10
NNNTNNNTTS,10
NNNTNNTNNS,10
NNNTNNTNTS,10
NNNTNNTTNS,10
NNNTNNTTTS,10
NNNTNTNNNS,10
NNNTNTNNTS,10
NNNTNTNTNS,10
NNNTNTNTTS,10
NNNTNTTNNS,10
NNNTNTTNTS,10
NNNTNTTTNS,10
NNNTNTTTTS,10
NNNTTNNNNS,10
NNNTTNNNTS,10
NNNTTNNTNS,10
NNNTTNNTTS,10
NNNTTNTNNS,10
NNNTTNTNTS,10
NNNTTNTTNS,10
NNNTTNTTTS,10
NNNTTTNNNS,10
NNNTTTNNTS,10
NNNTTTNTNS,10
NNNTTTNTTS,10
NNNTTTTNNS,10
NNNTTTTNTS,10
NNNTTTTTNS,10
NNNTTTTTTS,10
NNTNNNNNNS,10
NNTNNNNNTS,10
NNTNNNNTNS,10
NNTNNNNTTS,10
NNTNNNTNNS,10
NNTNNNTNTS,10
NNTNNNTTNS,10
NNTNNNTTTS,10
NNTNNTNNNS,10
NNTNNTNNTS,10
NNTNNTNTNS,10
NNTNNTNTTS,10
NNTNNTTNNS,10
NNTNNTTNTS,10
NNTNNTTTNS,10
NNTNNTTTTS,10
NNTNTNNNNS,10
NNTNTNNNTS,10
NNTNTNNTNS,10
NNTNTNNTTS,10
NNTNTNTNNS,10
NNTNTNTNTS,10
NNTNTNTTNS,10
NNTNTNTTTS,10
NNTNTTNNNS,10
NNTNTTNNTS,10
NNTNTTNTNS,10
NNTNTTNTTS,10
NNTNTTTNNS,10
NNTNTTTNTS,10
NNTNTTTTNS,10
NNTNTTTTTS,10
NNTTNNNNNS,10
NNTTNNNNTS,10
NNTTNNNTNS,10
NNTTNNNTTS,10
NNTTNNTNNS,10
NNTTNNTNTS,10
NNTTNNTTNS,10
NNTTNNTTTS,10
NNTTNTNNNS,10
NNTTNTNNTS,10
NNTTNTNTNS,10
NNTTNTNTTS,10
NNTTNTTNNS,10
NNTTNTTNTS,10
NNTTNTTTNS,10
NNTTNTTTTS,10
